dfa_id,regex,A,B,C,D,E,F,G,H,I,J,K,L
0,[LCIG]+,0,0,1,0,0,0,1,0,1,0,0,1
1,[GDIK]*,0,0,0,1,0,0,1,0,1,0,1,0
2,[JCDLB]*,0,1,1,1,0,0,0,0,0,1,0,1
3,H+C*J+BF|DL*,0,1,1,1,0,1,0,1,0,1,0,1
4,I+B*|AA*,1,1,0,0,0,0,0,0,1,0,0,0
5,B*|K+JC+K+,0,1,1,0,0,0,0,0,0,1,1,0
6,[CAFBD],1,1,1,1,0,1,0,0,0,0,0,0
7,[FDJ]+,0,0,0,1,0,1,0,0,0,1,0,0
8,D*ED+G+C+A+|I+L*L*|I+,1,0,1,1,1,0,1,0,1,0,0,1
9,K*H+F*H+I+K+F|C,0,0,1,0,0,1,0,1,1,0,1,0
10,[AHDI]*,1,0,0,1,0,0,0,1,1,0,0,0
11,[BJL]*,0,1,0,0,0,0,0,0,0,1,0,1
12,B+J+J,0,1,0,0,0,0,0,0,0,1,0,0
13,[LEHBA]+,1,1,0,0,1,0,0,1,0,0,0,1
14,[JFHEC],0,0,1,0,1,1,0,1,0,1,0,0
15,J+AI+D+|C*E|G*A+,1,0,1,1,1,0,1,0,1,1,0,0
16,[HICBL],0,1,1,0,0,0,0,1,1,0,0,1
17,[LCKH]+,0,0,1,0,0,0,0,1,0,0,1,1
18,[GLICJ],0,0,1,0,0,0,1,0,1,1,0,1
19,[GBAJF]+,1,1,0,0,0,1,1,0,0,1,0,0
20,H+|A*C|L+F*,1,0,1,0,0,1,0,1,0,0,0,1
21,[KDHAGL],1,0,0,1,0,0,1,1,0,0,1,1
22,D+B+G+L+,0,1,0,1,0,0,1,0,0,0,0,1
23,[FGJL],0,0,0,0,0,1,1,0,0,1,0,1
24,[EBDGC]+,0,1,1,1,1,0,1,0,0,0,0,0
25,[FEACB],1,1,1,0,1,1,0,0,0,0,0,0
26,[BDFA]*,1,1,0,1,0,1,0,0,0,0,0,0
27,[DHBKFC]*,0,1,1,1,0,1,0,1,0,0,1,0
28,[EBLCGA]+,1,1,1,0,1,0,1,0,0,0,0,1
29,[BFCG],0,1,1,0,0,1,1,0,0,0,0,0
30,G+K*D*,0,0,0,1,0,0,1,0,0,0,1,0
31,[KLBAED],1,1,0,1,1,0,0,0,0,0,1,1
32,[GIEA],1,0,0,0,1,0,1,0,1,0,0,0
33,[LDKJFH],0,0,0,1,0,1,0,1,0,1,1,1
34,L+|L*E|K+A*|L+F*GIL+C*|H+,1,0,1,0,1,1,1,1,1,0,1,1
35,[GFCDBI],0,1,1,1,0,1,1,0,1,0,0,0
36,J|EL+|FK|G+D+C*,0,0,1,1,1,1,1,0,0,1,1,1
37,[FGJIH],0,0,0,0,0,1,1,1,1,1,0,0
38,[GADK],1,0,0,1,0,0,1,0,0,0,1,0
39,[CLKAED]*,1,0,1,1,1,0,0,0,0,0,1,1
40,K*C*|LI*|B*E+D*,0,1,1,1,1,0,0,0,1,0,1,1
41,[HAEIJB],1,1,0,0,1,0,0,1,1,1,0,0
42,J*I*|DG+D+|L*,0,0,0,1,0,0,1,0,1,1,0,1
43,J+L*|B*H|D+F+|LJ+,0,1,0,1,0,1,0,1,0,1,0,1
44,J*H+|GHGE+D+,0,0,0,1,1,0,1,1,0,1,0,0
45,C*A*|A*D*E*|LB*D+,1,1,1,1,1,0,0,0,0,0,0,1
46,[ILEJA],1,0,0,0,1,0,0,0,1,1,0,1
47,D+L*JE*|J*I*D*|K*F*E*,0,0,0,1,1,1,0,0,1,1,1,1
48,D|JG*K*,0,0,0,1,0,0,1,0,0,1,1,0
49,D+|E*K+|I*CL*A+E*|FB,1,1,1,1,1,1,0,0,1,0,1,1
50,[KBJI]+,0,1,0,0,0,0,0,0,1,1,1,0
51,[DHF],0,0,0,1,0,1,0,1,0,0,0,0
52,[BJK]+,0,1,0,0,0,0,0,0,0,1,1,0
53,G|L*A*G+|FD*L*,1,0,0,1,0,1,1,0,0,0,0,1
54,[DHIKA],1,0,0,1,0,0,0,1,1,0,1,0
55,[JKFIE]*,0,0,0,0,1,1,0,0,1,1,1,0
56,A*|A*E*I*FIB+|A*,1,1,0,0,1,1,0,0,1,0,0,0
57,EF*C+,0,0,1,0,1,1,0,0,0,0,0,0
58,[DKEF]*,0,0,0,1,1,1,0,0,0,0,1,0
59,[FIG],0,0,0,0,0,1,1,0,1,0,0,0
60,[JHLB]+,0,1,0,0,0,0,0,1,0,1,0,1
61,JF*|BE+,0,1,0,0,1,1,0,0,0,1,0,0
62,[JKIFG],0,0,0,0,0,1,1,0,1,1,1,0
63,[KJEH]+,0,0,0,0,1,0,0,1,0,1,1,0
64,[HIADFB],1,1,0,1,0,1,0,1,1,0,0,0
65,H*|DD+|BI+C+,0,1,1,1,0,0,0,1,1,0,0,0
66,J*|JL*IE*E*|D*B+F+,0,1,0,1,1,1,0,0,1,1,0,1
67,[FLDHA],1,0,0,1,0,1,0,1,0,0,0,1
68,HI+|D+J,0,0,0,1,0,0,0,1,1,1,0,0
69,DD*J*K+|G*K*,0,0,0,1,0,0,1,0,0,1,1,0
70,L+|IL|E+LJ+G*HB*A+,1,1,0,0,1,0,1,1,1,1,0,1
71,C+F+|A*C+|IK|A,1,0,1,0,0,1,0,0,1,0,1,0
72,D*C+CB,0,1,1,1,0,0,0,0,0,0,0,0
73,[LHKCE]+,0,0,1,0,1,0,0,1,0,0,1,1
74,I+J*JE*,0,0,0,0,1,0,0,0,1,1,0,0
75,[JEIAHB]*,1,1,0,0,1,0,0,1,1,1,0,0
76,[KLE],0,0,0,0,1,0,0,0,0,0,1,1
77,K*EL*|B*AC*,1,1,1,0,1,0,0,0,0,0,1,1
78,[EJBL]*,0,1,0,0,1,0,0,0,0,1,0,1
79,[GABJC]+,1,1,1,0,0,0,1,0,0,1,0,0
80,G+|GCD|I*,0,0,1,1,0,0,1,0,1,0,0,0
81,A+|G*K|LCF+,1,0,1,0,0,1,1,0,0,0,1,1
82,L*K*|K*CE+|C*H|DJ+,0,0,1,1,1,0,0,1,0,1,1,1
